Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,MEAN,,,MIN,MAX,,,,
5.1,3.5,1.4,0.2,2.55,,setosa,2.1,2.55,,,,
4.9,3,1.4,0.2,2.375,,versicolor,2.875,4.075,,,,
4.7,3.2,1.3,0.2,2.35,,virginica,3.4,4.525,,,,
4.6,3.1,1.5,0.2,2.35,,TRAINING-1,,,,TESTING,,OVERALL%
5,3.6,1.4,0.2,2.55,,unshaded setosa,2.1,2.83,,88,%,77.33333333
5.4,3.9,1.7,0.4,2.85,,unshaded versicolor,2.9,4.1,,76,%,
4.6,3.4,1.4,0.3,2.425,,unshaded virginica,3.88,5.1,,68,%,
5,3.4,1.5,0.2,2.525,,TRAINING-2,,,,TESTING-2,,
4.4,2.9,1.4,0.2,2.225,,unshaded setosa,2.13,3,,100%,,64
4.9,3.1,1.5,0.1,2.4,,unshaded versicolor,2.88,4.1,,24,,
5.4,3.7,1.5,0.2,2.7,,unshaded virginica,3.4,5.1,,68,,
4.8,3.4,1.6,0.2,2.5,,,,,,,,
4.8,3,1.4,0.1,2.325,,,,,,,,
4.3,3,1.1,0.1,2.125,,,,,,,,
5.8,4,1.2,0.2,2.8,,,,,,,,
5.7,4.4,1.5,0.4,3,,,,,,,,
5.4,3.9,1.3,0.4,2.75,,,,,,,,
5.1,3.5,1.4,0.3,2.575,,,,,,,,
5.7,3.8,1.7,0.3,2.875,,,,,,,,
5.1,3.8,1.5,0.3,2.675,,,,,,,,
5.4,3.4,1.7,0.2,2.675,,,,,,,,
5.1,3.7,1.5,0.4,2.675,,,,,,,,
4.6,3.6,1,0.2,2.35,,,,,,,,
5.1,3.3,1.7,0.5,2.65,,,,,,,,
4.8,3.4,1.9,0.2,2.575,,,,,,,,
5,3,1.6,0.2,2.45,,,,,,,,
5,3.4,1.6,0.4,2.6,,,,,,,,
5.2,3.5,1.5,0.2,2.6,,,,,,,,
5.2,3.4,1.4,0.2,2.55,,,,,,,,
4.7,3.2,1.6,0.2,2.425,,,,,,,,
4.8,3.1,1.6,0.2,2.425,,,,,,,,
5.4,3.4,1.5,0.4,2.675,,,,,,,,
5.2,4.1,1.5,0.1,2.725,,,,,,,,
5.5,4.2,1.4,0.2,2.825,,,,,,,,
4.9,3.1,1.5,0.2,2.425,,,,,,,,
5,3.2,1.2,0.2,2.4,,,,,,,,
5.5,3.5,1.3,0.2,2.625,,,,,,,,
4.9,3.6,1.4,0.1,2.5,,,,,,,,
4.4,3,1.3,0.2,2.225,,,,,,,,
5.1,3.4,1.5,0.2,2.55,,,,,,,,
5,3.5,1.3,0.3,2.525,,,,,,,,
4.5,2.3,1.3,0.3,2.1,,,,,,,,
4.4,3.2,1.3,0.2,2.275,,,,,,,,
5,3.5,1.6,0.6,2.675,,,,,,,,
5.1,3.8,1.9,0.4,2.8,,,,,,,,
4.8,3,1.4,0.3,2.375,,,,,,,,
5.1,3.8,1.6,0.2,2.675,,,,,,,,
4.6,3.2,1.4,0.2,2.35,,,,,,,,
5.3,3.7,1.5,0.2,2.675,,,,,,,,
5,3.3,1.4,0.2,2.475,,,,,,,,
,,,,#DIV/0!,,,,,,,,
7,3.2,4.7,1.4,4.075,,,,,,,,
6.4,3.2,4.5,1.5,3.9,,,,,,,,
6.9,3.1,4.9,1.5,4.1,,,,,,,,
5.5,2.3,4,1.3,3.275,,,,,,,,
6.5,2.8,4.6,1.5,3.85,,,,,,,,
5.7,2.8,4.5,1.3,3.575,,,,,,,,
6.3,3.3,4.7,1.6,3.975,,,,,,,,
4.9,2.4,3.3,1,2.9,,,,,,,,
6.6,2.9,4.6,1.3,3.85,,,,,,,,
5.2,2.7,3.9,1.4,3.3,,,,,,,,
5,2,3.5,1,2.875,,,,,,,,
5.9,3,4.2,1.5,3.65,,,,,,,,
6,2.2,4,1,3.3,,,,,,,,
6.1,2.9,4.7,1.4,3.775,,,,,,,,
5.6,2.9,3.6,1.3,3.35,,,,,,,,
6.7,3.1,4.4,1.4,3.9,,,,,,,,
5.6,3,4.5,1.5,3.65,,,,,,,,
5.8,2.7,4.1,1,3.4,,,,,,,,
6.2,2.2,4.5,1.5,3.6,,,,,,,,
5.6,2.5,3.9,1.1,3.275,,,,,,,,
5.9,3.2,4.8,1.8,3.925,,,,,,,,
6.1,2.8,4,1.3,3.55,,,,,,,,
6.3,2.5,4.9,1.5,3.8,,,,,,,,
6.1,2.8,4.7,1.2,3.7,,,,,,,,
6.4,2.9,4.3,1.3,3.725,,,,,,,,
6.6,3,4.4,1.4,3.85,,,,,,,,
6.8,2.8,4.8,1.4,3.95,,,,,,,,
6.7,3,5,1.7,4.1,,,,,,,,
6,2.9,4.5,1.5,3.725,,,,,,,,
5.7,2.6,3.5,1,3.2,,,,,,,,
5.5,2.4,3.8,1.1,3.2,,,,,,,,
5.5,2.4,3.7,1,3.15,,,,,,,,
5.8,2.7,3.9,1.2,3.4,,,,,,,,
6,2.7,5.1,1.6,3.85,,,,,,,,
5.4,3,4.5,1.5,3.6,,,,,,,,
6,3.4,4.5,1.6,3.875,,,,,,,,
6.7,3.1,4.7,1.5,4,,,,,,,,
6.3,2.3,4.4,1.3,3.575,,,,,,,,
5.6,3,4.1,1.3,3.5,,,,,,,,
5.5,2.5,4,1.3,3.325,,,,,,,,
5.5,2.6,4.4,1.2,3.425,,,,,,,,
6.1,3,4.6,1.4,3.775,,,,,,,,
5.8,2.6,4,1.2,3.4,,,,,,,,
5,2.3,3.3,1,2.9,,,,,,,,
5.6,2.7,4.2,1.3,3.45,,,,,,,,
5.7,3,4.2,1.2,3.525,,,,,,,,
5.7,2.9,4.2,1.3,3.525,,,,,,,,
6.2,2.9,4.3,1.3,3.675,,,,,,,,
5.1,2.5,3,1.1,2.925,,,,,,,,
5.7,2.8,4.1,1.3,3.475,,,,,,,,
,,,,#DIV/0!,,,,,,,,
6.3,3.3,6,2.5,4.525,,,,,,,,
5.8,2.7,5.1,1.9,3.875,,,,,,,,
7.1,3,5.9,2.1,4.525,,,,,,,,
6.3,2.9,5.6,1.8,4.15,,,,,,,,
6.5,3,5.8,2.2,4.375,,,,,,,,
7.6,3,6.6,2.1,4.825,,,,,,,,
4.9,2.5,4.5,1.7,3.4,,,,,,,,
7.3,2.9,6.3,1.8,4.575,,,,,,,,
6.7,2.5,5.8,1.8,4.2,,,,,,,,
7.2,3.6,6.1,2.5,4.85,,,,,,,,
6.5,3.2,5.1,2,4.2,,,,,,,,
6.4,2.7,5.3,1.9,4.075,,,,,,,,
6.8,3,5.5,2.1,4.35,,,,,,,,
5.7,2.5,5,2,3.8,,,,,,,,
5.8,2.8,5.1,2.4,4.025,,,,,,,,
6.4,3.2,5.3,2.3,4.3,,,,,,,,
6.5,3,5.5,1.8,4.2,,,,,,,,
7.7,3.8,6.7,2.2,5.1,,,,,,,,
